Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 27/01/2025 ; 01:00 ; 00038 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00000 ; 00007 ; 00000 ; 00000 ; 00000
00001 ; 27/01/2025 ; 02:00 ; 00017 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00002 ; 00001 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 27/01/2025 ; 03:00 ; 00015 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 27/01/2025 ; 04:00 ; 00008 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 27/01/2025 ; 05:00 ; 00024 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00001 ; 00013 ; 00001 ; 00000 ; 00000
00001 ; 27/01/2025 ; 06:00 ; 00150 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00065 ; 00008 ; 00042 ; 00003 ; 00000 ; 00000
00001 ; 27/01/2025 ; 07:00 ; 00217 ; 00019 ; 00000 ; 00000 ; 00000 ; 00000 ; 00162 ; 00014 ; 00110 ; 00002 ; 00000 ; 00000
00001 ; 27/01/2025 ; 08:00 ; 00661 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00594 ; 00029 ; 00404 ; 00011 ; 00000 ; 00000
00001 ; 27/01/2025 ; 09:00 ; 00687 ; 00040 ; 00000 ; 00000 ; 00000 ; 00000 ; 00602 ; 00041 ; 00384 ; 00016 ; 00000 ; 00000
00001 ; 27/01/2025 ; 10:00 ; 00581 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00471 ; 00034 ; 00279 ; 00009 ; 00000 ; 00000
00001 ; 27/01/2025 ; 11:00 ; 00631 ; 00057 ; 00000 ; 00000 ; 00000 ; 00000 ; 00429 ; 00043 ; 00167 ; 00015 ; 00000 ; 00000
00001 ; 27/01/2025 ; 12:00 ; 00688 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00440 ; 00021 ; 00206 ; 00009 ; 00000 ; 00000
